id,sku_antiguo,sku_nuevo,creado_por,fecha_creacion,activo
215,7702026188184,7702487193314,2,2026-02-24 21:14:21.126516,t
216,7702026184247,7702487190689,2,2026-02-24 21:14:21.12652,t
217,692130603638,6921306036385,2,2026-02-24 21:14:21.12652,t
218,7502010429190,7502010429909,2,2026-02-24 21:14:21.126521,t
219,7702521062477,7702521104788,2,2026-02-24 21:14:21.126523,t
220,6972228791661,6921306037054,2,2026-02-24 21:14:21.126523,t
221,7501072214546,7891000246344,2,2026-02-24 21:14:21.126524,t
222,57094583,96801463,2,2026-02-24 21:14:21.126524,t
223,57061815,96768695,2,2026-02-24 21:14:21.126524,t
224,96334519,95908535,2,2026-02-24 21:14:21.126525,t
225,96301751,95875767,2,2026-02-24 21:14:21.126525,t
226,96268983,95842999,2,2026-02-24 21:14:21.126526,t
227,7702521104788,7702521062477,2,2026-02-24 21:14:21.126526,t
228,5414736054902,5414736065038,2,2026-02-24 21:14:21.126526,t
229,5414736054896,5414736065021,2,2026-02-24 21:14:21.126526,t
230,5414736054872,5414736065014,2,2026-02-24 21:14:21.126527,t
231,5414736054926,5414736064994,2,2026-02-24 21:14:21.126527,t
232,5414736054919,5414736065045,2,2026-02-24 21:14:21.126527,t
233,5414736054889,5414736065007,2,2026-02-24 21:14:21.126528,t
234,6972228798769,6921300020137,2,2026-02-24 21:14:21.126528,t
235,5060251320345,5060251321410,2,2026-02-24 21:14:21.126528,t
236,5060251320338,5060251321397,2,2026-02-24 21:14:21.126528,t
237,7703220044481,164100000247,2,2026-02-24 21:14:21.126529,t
238,7703220044450,164100000246,2,2026-02-24 21:14:21.126529,t
239,7703220044726,164100000245,2,2026-02-24 21:14:21.126529,t
240,7703220044719,164100000244,2,2026-02-24 21:14:21.126529,t
241,7703220044443,164100000243,2,2026-02-24 21:14:21.12653,t
242,7703220044436,164100000242,2,2026-02-24 21:14:21.12653,t
243,7703220024919,164100000241,2,2026-02-24 21:14:21.12653,t
244,7703220040780,164100000240,2,2026-02-24 21:14:21.12653,t
245,7703220046157,164100000239,2,2026-02-24 21:14:21.126531,t
246,7703220009909,164100000238,2,2026-02-24 21:14:21.126531,t
247,7703220023431,164100000237,2,2026-02-24 21:14:21.126531,t
248,7703220024926,164100000236,2,2026-02-24 21:14:21.126532,t
249,7703220046102,164100000235,2,2026-02-24 21:14:21.126532,t
250,7703220046072,164100000234,2,2026-02-24 21:14:21.126532,t
251,7703220029396,164100000233,2,2026-02-24 21:14:21.126532,t
252,7703220040773,164100000232,2,2026-02-24 21:14:21.126533,t
253,7703220032037,164100000231,2,2026-02-24 21:14:21.126533,t
254,7703220040766,164100000230,2,2026-02-24 21:14:21.126533,t
255,7703220040759,164100000229,2,2026-02-24 21:14:21.126533,t
256,7703220038671,164100000228,2,2026-02-24 21:14:21.126534,t
257,7703220044504,164100000227,2,2026-02-24 21:14:21.126534,t
258,7703220046379,164100000226,2,2026-02-24 21:14:21.126534,t
259,7703220046294,164100000225,2,2026-02-24 21:14:21.126535,t
260,7703220033690,164100000224,2,2026-02-24 21:14:21.126535,t
261,7703220044580,164100000223,2,2026-02-24 21:14:21.126535,t
262,7703220044573,164100000222,2,2026-02-24 21:14:21.126536,t
263,7702026190484,7702487197329,2,2026-02-24 21:14:21.126536,t
264,7702026184001,7702487196964,2,2026-02-24 21:14:21.126536,t
265,7702026183868,7702487196544,2,2026-02-24 21:14:21.126536,t
266,7702026195298,7702487187900,2,2026-02-24 21:14:21.126537,t
267,7702026312343,7702487007819,2,2026-02-24 21:14:21.126537,t
268,7891000246344,7501072214546,2,2026-02-24 21:14:21.126537,t
269,7891000246429,7501072214539,2,2026-02-24 21:14:21.126537,t
270,7891000246481,7501072214560,2,2026-02-24 21:14:21.126538,t
271,7702521102364,850006715411,2,2026-02-24 21:14:21.126538,t
272,850006715411,7702521102364,2,2026-02-24 21:14:21.126538,t
273,542003697577956,5420036975779,2,2026-02-24 21:14:21.126539,t
274,38100102492,8445290538697,2,2026-02-24 21:14:21.126539,t
275,7702521691967,7501072213662,2,2026-02-24 21:14:21.126539,t
276,3411113114886,3411112938872,2,2026-02-24 21:14:21.126539,t
277,164100000722,164100000122,2,2026-02-24 21:14:21.12654,t
278,164100000721,164100000121,2,2026-02-24 21:14:21.12654,t
279,164100000778,164100000784,2,2026-02-24 21:14:21.12654,t
280,164100000784,164100000781,2,2026-02-24 21:14:21.12654,t
281,164100000781,164100000778,2,2026-02-24 21:14:21.126541,t
282,164100000779,164100000785,2,2026-02-24 21:14:21.126541,t
283,164100000785,164100000782,2,2026-02-24 21:14:21.126541,t
284,164100000782,164100000779,2,2026-02-24 21:14:21.126541,t
285,164100000780,164100000786,2,2026-02-24 21:14:21.126542,t
286,164100000786,164100000783,2,2026-02-24 21:14:21.126542,t
287,164100000783,164100000780,2,2026-02-24 21:14:21.126542,t
288,7702026184490,7702487005402,2,2026-02-24 21:14:21.126543,t
289,7702026186289,7702487190269,2,2026-02-24 21:14:21.126543,t
290,7707308880282,7707308880299,2,2026-02-24 21:14:21.126543,t
291,7707308880299,7707308880282,2,2026-02-24 21:14:21.126543,t
292,164100000122,164100000722,2,2026-02-24 21:14:21.126544,t
293,164100000121,164100000721,2,2026-02-24 21:14:21.126544,t
294,30111426062,30111645661,2,2026-02-24 21:14:21.126544,t
295,658325166606,7707912072950,2,2026-02-24 21:14:21.126545,t
296,7709671803196,7707912072936,2,2026-02-24 21:14:21.126545,t
297,7702123000907,4007221055242,2,2026-02-24 21:14:21.126545,t
298,692130603648,6921306036484,2,2026-02-24 21:14:21.126545,t
299,7898363327636,7898363317636,2,2026-02-24 21:14:21.126546,t
300,659525111243,7707912072646,2,2026-02-24 21:14:21.126546,t
301,3182550939034,30111534095,2,2026-02-24 21:14:21.126546,t
302,7898604435112,7898604435129,2,2026-02-24 21:14:21.126547,t
303,164100000132,164100000732,2,2026-02-24 21:14:21.126547,t
304,164100000131,164100000731,2,2026-02-24 21:14:21.126547,t
305,164100000163,164100000768,2,2026-02-24 21:14:21.126548,t
306,164100000160,164100000764,2,2026-02-24 21:14:21.126548,t
307,164100000162,164100000767,2,2026-02-24 21:14:21.126548,t
308,164100000207,164100000819,2,2026-02-24 21:14:21.126548,t
309,164100000208,164100000820,2,2026-02-24 21:14:21.126549,t
310,164100000202,164100000816,2,2026-02-24 21:14:21.126549,t
311,164100000201,164100000815,2,2026-02-24 21:14:21.126549,t
312,164100000126,164100000725,2,2026-02-24 21:14:21.12655,t
313,164100000124,164100000722,2,2026-02-24 21:14:21.12655,t
